"user_id","sex","age","region","bundle","num_sessions","avg_session","service","order_date","price","fuel","cinema","vkusvill","travel","restaurants","concerts","games","books","theater","sports","beauty","flowers","technology"
"1367","M","16","Алтайский край","No bundle","158","107","Топливо","2022-12-03","282","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30931","M","17","Московская область","Tinkoff Pro","715","84","Кино","2022-11-11","174","0","1","0","0","0","0","0","0","0","0","0","0","0"
"38342","M","16","Республика Башкортостан","Tinkoff Pro","846","54","Кино","2022-01-07","183","0","1","0","0","0","0","0","0","0","0","0","0","0"
"23681","M","14","Московская область","No bundle","540","330","Вкусвилл","2022-12-28","263","0","0","1","0","0","0","0","0","0","0","0","0","0"
"39461","M","17","Воронежская область","No bundle","752","50","Вкусвилл","2022-12-18","284","0","0","1","0","0","0","0","0","0","0","0","0","0"
"23908","M","14","Свердловская область","No bundle","1731","85","Путешествия","2022-12-22","1898","0","0","0","1","0","0","0","0","0","0","0","0","0"
"93619","M","15","Челябинская область","No bundle","350","164","Путешествия","2022-12-24","5326","0","0","0","1","0","0","0","0","0","0","0","0","0"
"63595","F","17","Республика Татарстан","No bundle","984","81","Рестораны","2022-06-11","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"47715","F","15","Калининградская область","No bundle","59","58","Кино","2022-06-28","35","0","1","0","0","0","0","0","0","0","0","0","0","0"
"19641","F","17","Пермский край","No bundle","1191","94","Путешествия","2022-05-24","1199","0","0","0","1","0","0","0","0","0","0","0","0","0"
"91296","M","15","Москва","No bundle","144","44","Кино","2022-11-02","164","0","1","0","0","0","0","0","0","0","0","0","0","0"
"38899","M","15","Воронежская область","No bundle","727","139","Кино","2022-03-07","59","0","1","0","0","0","0","0","0","0","0","0","0","0"
"77560","M","15","Воронежская область","No bundle","1889","106","Топливо","2022-12-13","422","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9227","M","16","Краснодарский край","No bundle","595","98","Кино","2022-02-11","117","0","1","0","0","0","0","0","0","0","0","0","0","0"
"71271","M","17","Ленинградская область","Tinkoff Pro","1706","72","Путешествия","2022-07-16","1385","0","0","0","1","0","0","0","0","0","0","0","0","0"
"70094","M","17","Иркутская область","No bundle","646","76","Кино","2022-02-04","141","0","1","0","0","0","0","0","0","0","0","0","0","0"
"2485","M","14","Московская область","No bundle","56","83","Кино","2022-02-22","136","0","1","0","0","0","0","0","0","0","0","0","0","0"
"22979","M","17","Краснодарский край","No bundle","1575","57","Кино","2022-03-23","131","0","1","0","0","0","0","0","0","0","0","0","0","0"
"12448","M","14","Пермский край","No bundle","318","51","Кино","2022-12-30","82","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70367","F","17","Москва","No bundle","2","488","Концерты","2022-04-30","516","0","0","0","0","0","1","0","0","0","0","0","0","0"
"26271","F","16","Краснодарский край","No bundle","757","92","Путешествия","2022-12-09","1063","0","0","0","1","0","0","0","0","0","0","0","0","0"
"58369","F","14","Новосибирская область","No bundle","77","71","Кино","2022-01-23","150","0","1","0","0","0","0","0","0","0","0","0","0","0"
"12972","M","15","Краснодарский край","No bundle","1618","83","Топливо","2022-06-17","352","1","0","0","0","0","0","0","0","0","0","0","0","0"
"85071","M","16","Новосибирская область","No bundle","239","90","Кино","2022-04-27","211","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70418","F","17","Калужская область","Tinkoff Pro","293","58","Путешествия","2022-11-15","2029","0","0","0","1","0","0","0","0","0","0","0","0","0"
"15226","M","15","Москва","No bundle","","","Кино","2022-06-20","155","0","1","0","0","0","0","0","0","0","0","0","0","0"
"7037","M","17","Свердловская область","No bundle","78","81","Топливо","2022-10-12","70","1","0","0","0","0","0","0","0","0","0","0","0","0"
"96116","F","16","Москва","No bundle","132","45","Игры","2022-08-11","14","0","0","0","0","0","0","1","0","0","0","0","0","0"
"26175","M","17","Алтайский край","No bundle","398","66","Путешествия","2022-11-02","3879","0","0","0","1","0","0","0","0","0","0","0","0","0"
"80059","M","17","Свердловская область","No bundle","1048","82","Путешествия","2022-03-03","716","0","0","0","1","0","0","0","0","0","0","0","0","0"
"87548","M","17","Краснодарский край","No bundle","661","93","Рестораны","2022-07-24","359","0","0","0","0","1","0","0","0","0","0","0","0","0"
"92772","M","16","Нижегородская область","No bundle","672","58","Топливо","2022-04-23","117","1","0","0","0","0","0","0","0","0","0","0","0","0"
